NAICSio,SCTG,Proportion
1111A0,3,1
1111B0,2,1
111200,3,1
111300,3,1
111400,3,1
111900,3,1
112120,1,1
1121A0,1,1
112300,1,1
112A00,1,1
113000,25,1
114000,5,1
211000,16,0.5
211000,19,0.5
212100,15,1
212230,14,1
2122A0,14,1
212310,10,0.5
212310,12,0.5
2123A0,11,0.25
2123A0,12,0.25
2123A0,13,0.25
2123A0,22,0.25
311111,4,1
311119,4,1
311210,6,1
311221,4,1
311225,7,1
31122A,3,0.5
31122A,7,0.5
311230,6,1
311300,7,1
311410,7,1
311420,7,1
311513,7,1
311514,5,1
31151A,7,1
311520,7,1
311615,5,1
31161A,4,0.5
31161A,5,0.5
311700,5,0.5
311700,7,0.5
311810,6,1
3118A0,6,1
311910,3,0.5
311910,7,0.5
311920,3,1
311930,7,1
311940,7,0.5
311940,23,0.5
311990,7,1
312110,7,1
312120,8,1
312130,8,1
312140,8,1
312200,9,1
313100,3,0.5
313100,30,0.5
313200,30,1
313300,24,0.5
313300,30,0.5
314110,30,1
314120,30,1
314900,30,0.5
314900,34,0.5
315000,24,0.5
315000,30,0.5
316000,24,0.333333333333333
316000,30,0.333333333333333
316000,34,0.333333333333333
321100,25,0.5
321100,26,0.5
321200,26,1
321910,26,1
3219A0,26,0.333333333333333
3219A0,36,0.333333333333333
3219A0,40,0.333333333333333
322110,27,1
322120,27,1
322130,27,1
322210,24,0.5
322210,28,0.5
322220,24,0.25
322220,27,0.25
322220,28,0.25
322220,32,0.25
322230,28,1
322291,34,1
322299,28,1
323110,29,0.5
323110,39,0.5
323120,29,0.5
323120,34,0.5
324110,17,0.25
324110,18,0.25
324110,19,0.5
324121,19,1
324122,31,1
324190,19,1
325110,20,1
325120,20,1
325130,20,1
325180,20,1
325190,20,0.5
325190,23,0.5
325211,24,1
3252A0,24,0.5
3252A0,30,0.5
325310,20,0.5
325310,22,0.5
325320,20,1
325411,20,1
325412,23,1
325413,21,1
325414,21,1
325510,23,1
325520,23,1
325610,7,0.333333333333333
325610,20,0.333333333333333
325610,23,0.333333333333333
325620,23,1
325910,23,1
3259A0,23,1
326110,24,1
326120,24,1
326130,24,1
326140,24,1
326150,24,1
326160,24,1
326190,24,1
326210,24,1
326220,24,1
326290,24,1
327100,31,0.5
327100,35,0.5
327200,31,0.5
327200,39,0.5
327310,31,1
327320,23,1
327330,31,1
327390,31,1
327400,13,0.5
327400,31,0.5
327910,20,1
327991,31,1
327992,31,1
327993,31,1
327999,31,1
331110,32,1
331200,32,0.5
331200,33,0.5
331314,32,1
33131A,32,1
33131B,32,0.5
33131B,33,0.5
331411,41,1
331419,32,1
331420,32,0.5
331420,33,0.5
331490,32,1
331510,32,0.5
331510,33,0.5
331520,32,0.5
331520,33,0.5
332114,33,1
33211A,33,1
33211B,33,1
332200,33,0.333333333333333
332200,34,0.333333333333333
332200,40,0.333333333333333
332310,33,0.333333333333333
332310,37,0.333333333333333
332310,40,0.333333333333333
332320,33,1
332410,34,1
332420,33,1
332430,33,0.5
332430,34,0.5
332500,33,1
332600,33,1
332710,34,1
332720,33,1
332800,33,1
332913,33,1
33291A,33,0.5
33291A,37,0.5
332991,34,1
332996,33,1
33299A,33,0.333333333333333
33299A,38,0.333333333333333
33299A,40,0.333333333333333
33299B,33,0.5
33299B,34,0.5
333111,34,1
333112,34,1
333120,34,1
333130,34,1
333220,34,1
333295,34,1
33329A,34,1
333313,35,1
333314,38,1
333315,34,1
33331A,34,0.5
33331A,41,0.5
333414,34,1
333415,34,1
33341A,34,1
333511,34,1
333514,34,1
33351A,34,1
33351B,34,1
333611,34,1
333612,35,1
333613,34,1
333618,34,1
333912,34,1
33391A,34,0.5
33391A,37,0.5
333920,34,0.5
333920,36,0.5
333991,33,1
333993,34,1
333994,34,1
33399A,33,0.5
33399A,34,0.5
33399B,34,1
334111,35,1
334112,35,1
33411A,35,1
334210,35,1
334220,35,1
334290,37,1
334300,35,1
334413,35,1
334418,35,1
33441A,35,1
334510,38,1
334511,35,1
334512,38,1
334513,38,1
334514,38,1
334515,35,1
334516,34,1
334517,38,1
33451A,35,0.5
33451A,40,0.5
334610,35,1
335110,35,1
335120,33,0.5
335120,35,0.5
335210,35,1
335221,35,1
335222,34,1
335224,34,1
335228,35,1
335311,35,1
335312,35,1
335313,35,1
335314,35,1
335911,35,1
335912,35,1
335920,35,1
335930,35,1
335991,35,1
335999,35,1
336111,36,1
336112,36,1
336120,36,1
336211,34,1
336212,36,1
336213,36,1
336214,36,1
336310,36,1
336320,35,1
336350,36,1
336360,36,1
336370,36,1
336390,36,1
3363A0,36,1
336411,37,1
336412,34,1
336413,36,1
336414,37,1
33641A,34,0.5
33641A,36,0.5
336500,36,1
336611,37,1
336612,37,1
336991,29,1
336992,36,1
336999,36,1
337110,39,1
337121,39,1
337122,39,1
337127,39,1
33712A,34,0.5
33712A,39,0.5
337215,39,1
33721A,33,0.5
33721A,39,0.5
337900,33,0.5
337900,39,0.5
339112,38,1
339113,38,1
339114,21,1
339115,38,1
339116,38,1
339910,31,0.5
339910,40,0.5
339920,24,1
339930,40,1
339940,27,0.5
339940,40,0.5
339950,40,1
339990,24,0.25
339990,33,0.25
339990,34,0.25
339990,40,0.25
511110,29,1
511120,29,1
511130,29,1
5111A0,29,1
