Commodity_SCTG,UnitCost,Tons,Value
1,1985.70207708325,89915849.28,178546088678
2,134.384039414168,1322356767.267,177703643932
3,559.195231192991,751996131.671,420512650706
4,351.772466884066,451597800.357,158859672271
5,3780.23814420643,106863437.334,403969242031
6,1512.39662984145,142043873.135,214826675019
7,1032.61148164457,684143234.25,706454158776
8,1983.74402340006,127735600.518,253394734103
9,17193.7010553933,4806682.308,82644658672
10,437.149027135597,16518321.359,7220968112
11,19.6481651622993,624132457.647,12263057611
12,10.5051431836388,1906165022.309,20024536491
13,96.3311986906621,294926525.551,28410625732
14,296.458476013049,92835584.599,27521895930
15,39.166179171591,916874338.41,35910464616
16,320.198560753261,1009183342.17,323139053699
17,532.295130525565,1476339839.446,785848507538
18,492.493797467391,1052775276.469,518485293788
19,238.987247331502,2678751983.565,640187562836
20,746.667953495694,483088128.548,360706424301
21,49582.9027622056,23973326.553,1188667119364
22,318.678072039885,209079221.606,66628963245
23,3298.91582961665,146624844.62,483703020932
24,2926.24143440487,282014357.928,825242099266
25,32.1800473386218,481662842.938,15499933087
26,647.579829553363,407390717.881,263818011647
27,881.463885340752,170220688.235,150043389217
28,1882.21550757065,86630803.967,163057842660
29,4651.07404843319,31463390.389,146338558514
30,10869.5728634689,63710023.075,692500737947
31,215.659071773791,1275292347.866,275028363981
32,1382.72905966876,379031563.531,524097957426
33,3075.86373631419,161531987.724,496850383295
34,9211.52339117422,133006465.686,1225192169844
35,21073.2275330973,83059289.16,1750327299206
36,7539.24124524388,206537691.468,1557137482213
37,35965.0167009272,9162127.515,329516069093
38,46922.9392171955,10830492.666,508198549059
39,5429.01334606452,69497550.807,377303130850
40,7914.33154257245,107816421.03,853294901765
41,112.65057920062,703509907.338,79250798535
43,3490.24159655027,444236235.859,1550491789090
99,280.52180162579,18462311.2,5179080800
